n,Run,Target,Input List,Brute Force Sum,Greedy Sum,Quality Gap,Quality Ratio,Percent Gap,Greedy Optimal,Greedy Valid,Brute Force Time,Greedy Time
16,23,336,"[36, 71, 76, 7, 49, 28, 37, 21, 9, 35, 17, 38, 14, 75, 62, 97]",336,336,0,1.0,0.0,True,True,0.0007992259997990914,4.363000698504038e-06
16,24,477,"[44, 61, 53, 2, 86, 97, 33, 32, 95, 51, 23, 96, 98, 69, 96, 19]",477,475,2,0.9958071278825996,0.41928721174004197,False,True,0.002459962999637355,5.326000973582268e-06
16,25,332,"[9, 13, 93, 86, 66, 83, 20, 5, 47, 9, 94, 38, 9, 23, 67, 2]",332,331,1,0.9969879518072289,0.30120481927710846,False,True,0.0009231090007233433,2.8409995138645172e-06
16,26,354,"[16, 19, 37, 93, 16, 10, 57, 28, 100, 32, 83, 70, 78, 27, 7, 35]",354,354,0,1.0,0.0,True,True,0.0003568519987311447,2.32499951380305e-06
16,27,299,"[83, 69, 93, 30, 14, 40, 39, 54, 39, 10, 26, 32, 8, 48, 10, 3]",299,299,0,1.0,0.0,True,True,0.00011808000090240967,2.0540010154945776e-06
16,28,372,"[52, 54, 43, 15, 13, 72, 39, 44, 37, 70, 43, 28, 20, 69, 77, 69]",372,372,0,1.0,0.0,True,True,0.0026636819984560134,3.0560004233848304e-06
16,29,444,"[40, 49, 33, 61, 50, 64, 60, 16, 74, 24, 79, 92, 89, 89, 4, 65]",444,443,1,0.9977477477477478,0.22522522522522523,False,True,0.002002957000513561,2.67999894276727e-06
16,30,393,"[44, 3, 57, 30, 46, 80, 28, 7, 26, 2, 55, 98, 90, 99, 48, 73]",393,393,0,1.0,0.0,True,True,0.0012864769996667746,2.2969998099142686e-06
17,1,411,"[32, 33, 83, 51, 7, 76, 90, 89, 13, 48, 19, 30, 89, 41, 2, 67, 53]",411,411,0,1.0,0.0,True,True,0.001671840000199154,2.861999746528454e-06
17,2,376,"[57, 40, 45, 32, 56, 49, 13, 99, 9, 33, 38, 7, 73, 26, 19, 97, 60]",376,374,2,0.9946808510638298,0.5319148936170213,False,True,0.0018894090007961495,3.3329997677356005e-06
17,3,590,"[79, 96, 92, 16, 45, 92, 58, 81, 97, 57, 64, 85, 79, 85, 62, 12, 80]",590,575,15,0.9745762711864406,2.5423728813559325,False,True,0.004776153000420891,3.3779997465899214e-06
17,4,463,"[33, 94, 53, 44, 11, 10, 87, 96, 83, 19, 36, 44, 32, 46, 57, 83, 99]",463,459,4,0.9913606911447084,0.8639308855291578,False,True,0.003327147000163677,3.5619996197056025e-06
17,5,326,"[11, 52, 23, 39, 21, 4, 12, 24, 52, 85, 54, 62, 12, 27, 64, 96, 14]",326,325,1,0.9969325153374233,0.3067484662576687,False,True,0.0010278190002281917,2.6289999368600547e-06
17,6,487,"[53, 83, 77, 94, 61, 25, 14, 50, 19, 47, 89, 51, 29, 82, 61, 41, 98]",487,487,0,1.0,0.0,True,True,0.0018901269995694747,2.802000381052494e-06
17,7,364,"[45, 2, 68, 6, 17, 53, 2, 89, 5, 52, 63, 49, 22, 73, 49, 42, 92]",364,364,0,1.0,0.0,True,True,0.0014894769992679358,4.51300002168864e-06
